primaryDomainId,casNumber,created,dataSources,description,displayName,domainIds,drugCategories,drugGroups,indication,synonyms,type,updated
drugbank.DB00011,74899-72-2,2023-04-02T22:16:52.705000,['drugbank'],,Interferon alfa-n1,['drugbank.DB00011'],[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00012,209810-58-2,2023-04-02T22:16:52.705000,['drugbank'],,Darbepoetin alfa,"['drugbank.DB00012', 'drug_central.5157']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00013,9039-53-6,2023-04-02T22:16:52.705000,['drugbank'],,Urokinase,"['drugbank.DB00013', 'drug_central.5109']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00014,65807-02-5,2023-04-02T22:16:52.705000,"['drugbank', 'chembl', 'unichem']",,Goserelin,"['drugbank.DB00014', 'drug_central.1327', 'pubchem.5311128']",[],['approved'],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00015,133652-38-7,2023-04-02T22:16:52.705000,['drugbank'],,Reteplase,"['drugbank.DB00015', 'drug_central.5044']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00016,11096-26-7,2023-04-02T22:16:52.705000,['drugbank'],,Erythropoietin,"['drugbank.DB00016', 'drug_central.4995', 'drug_central.5160', 'drug_central.5007', 'drug_central.5170']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00017,47931-85-1,2023-04-02T22:16:52.705000,['drugbank'],,Salmon calcitonin,"['drugbank.DB00017', 'drug_central.2989']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00018,,2023-04-02T22:16:52.705000,['drugbank'],,Interferon alfa-n3,['drugbank.DB00018'],[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00019,208265-92-3,2023-04-02T22:16:52.705000,['drugbank'],,Pegfilgrastim,"['drugbank.DB00019', 'drug_central.4986']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00020,123774-72-1,2023-04-02T22:16:52.705000,['drugbank'],,Sargramostim,"['drugbank.DB00020', 'drug_central.5025']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00022,215647-85-1,2023-04-02T22:16:52.705000,['drugbank'],,Peginterferon alfa-2b,"['drugbank.DB00022', 'drug_central.5164']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00023,9015-68-3,2023-04-02T22:16:52.705000,['drugbank'],,Asparaginase Escherichia coli,"['drugbank.DB00023', 'drug_central.5070']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00024,194100-83-9,2023-04-02T22:16:52.705000,['drugbank'],,Thyrotropin alfa,"['drugbank.DB00024', 'drug_central.4930']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00025,139076-62-3,2023-04-02T22:16:52.705000,['drugbank'],,"Antihemophilic factor, human recombinant","['drugbank.DB00025', 'drug_central.5099']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00026,143090-92-0,2023-04-02T22:16:52.705000,['drugbank'],,Anakinra,"['drugbank.DB00026', 'drug_central.5017']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00027,1405-97-6,2023-04-02T22:16:52.705000,"['drugbank', 'unichem']",,Gramicidin D,"['drugbank.DB00027', 'drug_central.4794', 'pubchem.45267103']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00028,308067-58-5,2023-04-02T22:16:52.705000,['drugbank'],,Human immunoglobulin G,['drugbank.DB00028'],[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00029,81669-57-0,2023-04-02T22:16:52.705000,['drugbank'],,Anistreplase,['drugbank.DB00029'],[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00030,11061-68-0,2023-04-02T22:16:52.705000,['drugbank'],,Insulin human,"['drugbank.DB00030', 'drug_central.5003']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00031,191588-94-0,2023-04-02T22:16:52.705000,['drugbank'],,Tenecteplase,"['drugbank.DB00031', 'drug_central.5066']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00032,9002-68-0,2023-04-02T22:16:52.705000,['drugbank'],,Menotropins,['drugbank.DB00032'],[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00033,98059-61-1,2023-04-02T22:16:52.705000,['drugbank'],,Interferon gamma-1b,['drugbank.DB00033'],[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00034,76543-88-9,2023-04-02T22:16:52.705000,['drugbank'],,"Interferon alfa-2a, Recombinant",['drugbank.DB00034'],[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00035,16679-58-6,2023-04-02T22:16:52.705000,"['drugbank', 'chembl', 'unichem']",,Desmopressin,"['drugbank.DB00035', 'drug_central.817', 'pubchem.5311065']",[],['approved'],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00036,102786-61-8,2023-04-02T22:16:52.705000,['drugbank'],,Coagulation factor VIIa Recombinant Human,"['drugbank.DB00036', 'drug_central.5159']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00038,145941-26-0,2023-04-02T22:16:52.705000,['drugbank'],,Oprelvekin,"['drugbank.DB00038', 'drug_central.5026']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00039,162394-19-6,2023-04-02T22:16:52.705000,['drugbank'],,Palifermin,"['drugbank.DB00039', 'drug_central.4804']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00040,16941-32-5,2023-04-02T22:16:52.705000,['drugbank'],,Glucagon,"['drugbank.DB00040', 'drug_central.2994']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00041,110942-02-4,2023-04-02T22:16:52.705000,['drugbank'],,Aldesleukin,"['drugbank.DB00041', 'drug_central.5011']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00042,93384-44-2,2023-04-02T22:16:52.705000,['drugbank'],,Botulinum Toxin Type B,['drugbank.DB00042'],[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00043,242138-07-4,2023-04-02T22:16:52.705000,['drugbank'],,Omalizumab,"['drugbank.DB00043', 'drug_central.4972']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00044,152923-57-4,2023-04-02T22:16:52.705000,['drugbank'],,Lutropin alfa,"['drugbank.DB00044', 'drug_central.4929']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00045,,2023-04-02T22:16:52.705000,['drugbank'],,Lyme disease vaccine (recombinant OspA),['drugbank.DB00045'],[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00046,133107-64-9,2023-04-02T22:16:52.705000,['drugbank'],,Insulin lispro,"['drugbank.DB00046', 'drug_central.5002']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00047,160337-95-1,2023-04-02T22:16:52.705000,['drugbank'],,Insulin glargine,"['drugbank.DB00047', 'drug_central.4901']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00048,9001-12-1,2023-04-02T22:16:52.705000,['drugbank'],,Collagenase clostridium histolyticum,"['drugbank.DB00048', 'drug_central.5051']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00049,134774-45-1,2023-04-02T22:16:52.705000,['drugbank'],,Rasburicase,"['drugbank.DB00049', 'drug_central.4994']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00050,120287-85-6,2023-04-02T22:16:52.705000,"['drugbank', 'chembl', 'unichem']",,Cetrorelix,"['drugbank.DB00050', 'drug_central.583', 'pubchem.25074887']",[],['approved'],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00051,331731-18-1,2023-04-02T22:16:52.705000,['drugbank'],,Adalimumab,"['drugbank.DB00051', 'drug_central.4904']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00052,12629-01-5,2023-04-02T22:16:52.705000,['drugbank'],,Somatotropin,"['drugbank.DB00052', 'drug_central.4848']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00053,154248-97-2,2023-04-02T22:16:52.705000,['drugbank'],,Imiglucerase,"['drugbank.DB00053', 'drug_central.4932']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00054,143653-53-6,2023-04-02T22:16:52.705000,['drugbank'],,Abciximab,"['drugbank.DB00054', 'drug_central.4950']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00055,98530-76-8,2023-04-02T22:16:52.705000,['drugbank'],,Drotrecogin alfa,['drugbank.DB00055'],[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00056,220578-59-6,2023-04-02T22:16:52.705000,['drugbank'],,Gemtuzumab ozogamicin,"['drugbank.DB00056', 'drug_central.4980']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00057,138955-27-8,2023-04-02T22:16:52.705000,['drugbank'],,Indium In-111 satumomab pendetide,['drugbank.DB00057'],[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00058,9041-92-3,2023-04-02T22:16:52.705000,['drugbank'],,Alpha-1-proteinase inhibitor,['drugbank.DB00058'],[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00059,130167-69-0,2023-04-02T22:16:52.705000,['drugbank'],,Pegaspargase,"['drugbank.DB00059', 'drug_central.5082']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00060,145258-61-3,2023-04-02T22:16:52.705000,['drugbank'],,Interferon beta-1a,"['drugbank.DB00060', 'drug_central.5139']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00061,130167-68-9,2023-04-02T22:16:52.705000,['drugbank'],,Pegademase,"['drugbank.DB00061', 'drug_central.5206']",[],[],,[],Drug,2023-04-02T22:16:52.705000
drugbank.DB00062,9048-46-8,2023-04-02T22:16:52.706000,['drugbank'],,Albumin human,['drugbank.DB00062'],[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00063,188627-80-7,2023-04-02T22:16:52.706000,['drugbank'],,Eptifibatide,"['drugbank.DB00063', 'drug_central.1040']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00065,170277-31-3,2023-04-02T22:16:52.706000,['drugbank'],,Infliximab,"['drugbank.DB00065', 'drug_central.4974']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00066,146479-72-3,2023-04-02T22:16:52.706000,['drugbank'],,Follitropin,"['drugbank.DB00066', 'drug_central.4928']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00067,11000-17-2,2023-04-02T22:16:52.706000,"['drugbank', 'unichem']",,Vasopressin,"['drugbank.DB00067', 'drug_central.2810', 'pubchem.11979316']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00068,145155-23-3,2023-04-02T22:16:52.706000,['drugbank'],,Interferon beta-1b,"['drugbank.DB00068', 'drug_central.5140']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00069,118390-30-0,2023-04-02T22:16:52.706000,['drugbank'],,Interferon alfacon-1,['drugbank.DB00069'],[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00070,488712-31-8,2023-04-02T22:16:52.706000,['drugbank'],,Hyaluronidase (ovine),['drugbank.DB00070'],[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00071,12584-58-6,2023-04-02T22:16:52.706000,['drugbank'],,Insulin pork,"['drugbank.DB00071', 'drug_central.5191']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00072,180288-69-1,2023-04-02T22:16:52.706000,['drugbank'],,Trastuzumab,"['drugbank.DB00072', 'drug_central.4979']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00073,174722-31-7,2023-04-02T22:16:52.706000,['drugbank'],,Rituximab,"['drugbank.DB00073', 'drug_central.4975']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00074,179045-86-4,2023-04-02T22:16:52.706000,['drugbank'],,Basiliximab,"['drugbank.DB00074', 'drug_central.4940']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00075,140608-64-6,2023-04-02T22:16:52.706000,['drugbank'],,Muromonab,"['drugbank.DB00075', 'drug_central.5177']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00076,,2023-04-02T22:16:52.706000,['drugbank'],,Digoxin Immune Fab (Ovine),['drugbank.DB00076'],[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00078,206181-63-7,2023-04-02T22:16:52.706000,['drugbank'],,Ibritumomab tiuxetan,"['drugbank.DB00078', 'drug_central.4984']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00080,103060-53-3,2023-04-02T22:16:52.706000,"['drugbank', 'unichem']",,Daptomycin,"['drugbank.DB00080', 'drug_central.783', 'pubchem.21585658', 'pubchem.101589918']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00081,208921-02-2,2023-04-02T22:16:52.706000,['drugbank'],,Tositumomab,['drugbank.DB00081'],[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00082,218620-50-9,2023-04-02T22:16:52.706000,['drugbank'],,Pegvisomant,"['drugbank.DB00082', 'drug_central.5015']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00083,93384-43-1,2023-04-02T22:16:52.706000,['drugbank'],,Botulinum toxin type A,"['drugbank.DB00083', 'drug_central.5368']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00085,53608-75-6,2023-04-02T22:16:52.706000,['drugbank'],,Pancrelipase,"['drugbank.DB00085', 'drug_central.5161']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00086,9002-01-1,2023-04-02T22:16:52.706000,['drugbank'],,Streptokinase,['drugbank.DB00086'],[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00087,216503-57-0,2023-04-02T22:16:52.706000,['drugbank'],,Alemtuzumab,"['drugbank.DB00087', 'drug_central.4909']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00088,143003-46-7,2023-04-02T22:16:52.706000,['drugbank'],,Alglucerase,"['drugbank.DB00088', 'drug_central.5129']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00089,145464-28-4,2023-04-02T22:16:52.706000,['drugbank'],,Capromab pendetide,['drugbank.DB00089'],[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00090,210589-09-6,2023-04-02T22:16:52.706000,['drugbank'],,Laronidase,"['drugbank.DB00090', 'drug_central.4997']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00091,59865-13-3,2023-04-02T22:16:52.706000,"['drugbank', 'chembl', 'unichem']",,Cyclosporine,"['drugbank.DB00091', 'drug_central.760', 'pubchem.5284373']",[],['approved'],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00092,222535-22-0,2023-04-02T22:16:52.706000,['drugbank'],,Alefacept,"['drugbank.DB00092', 'drug_central.5088']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00093,56-59-7,2023-04-02T22:16:52.706000,['drugbank'],,Felypressin,"['drugbank.DB00093', 'drug_central.4910']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00094,97048-13-0,2023-04-02T22:16:52.706000,['drugbank'],,Urofollitropin,"['drugbank.DB00094', 'drug_central.4928']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00095,214745-43-4,2023-04-02T22:16:52.706000,['drugbank'],,Efalizumab,"['drugbank.DB00095', 'drug_central.4959']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00097,177073-44-8,2023-04-02T22:16:52.706000,['drugbank'],,Choriogonadotropin alfa,"['drugbank.DB00097', 'drug_central.5149']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00098,308067-60-9,2023-04-02T22:16:52.706000,['drugbank'],,Antithymocyte immunoglobulin (rabbit),['drugbank.DB00098'],[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00099,121181-53-1,2023-04-02T22:16:52.706000,['drugbank'],,Filgrastim,"['drugbank.DB00099', 'drug_central.4987']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00100,181054-95-5,2023-04-02T22:16:52.706000,['drugbank'],,Coagulation Factor IX (Recombinant),"['drugbank.DB00100', 'drug_central.5163']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00102,165101-51-9,2023-04-02T22:16:52.706000,['drugbank'],,Becaplermin,"['drugbank.DB00102', 'drug_central.4925']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00103,,2023-04-02T22:16:52.706000,['drugbank'],,Agalsidase beta,"['drugbank.DB00103', 'drug_central.5018']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00104,83150-76-9,2023-04-02T22:16:52.706000,['drugbank'],,Octreotide,"['drugbank.DB00104', 'drug_central.1980']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00105,98530-12-2,2023-04-02T22:16:52.706000,['drugbank'],,Interferon alfa-2b,"['drugbank.DB00105', 'drug_central.5205']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00106,183552-38-7,2023-04-02T22:16:52.706000,"['drugbank', 'chembl', 'unichem']",,Abarelix,"['drugbank.DB00106', 'drug_central.35', 'pubchem.16131215']",[],['approved'],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00107,50-56-6,2023-04-02T22:16:52.706000,['drugbank'],,Oxytocin,"['drugbank.DB00107', 'drug_central.2042']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00108,189261-10-7,2023-04-02T22:16:52.706000,['drugbank'],,Natalizumab,"['drugbank.DB00108', 'drug_central.4970']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00109,159519-65-0,2023-04-02T22:16:52.706000,['drugbank'],,Enfuvirtide,"['drugbank.DB00109', 'drug_central.1010']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00110,188039-54-5,2023-04-02T22:16:52.706000,['drugbank'],,Palivizumab,"['drugbank.DB00110', 'drug_central.4935']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00111,152923-56-3,2023-04-02T22:16:52.706000,['drugbank'],,Daclizumab,"['drugbank.DB00111', 'drug_central.4953']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00112,216974-75-3,2023-04-02T22:16:52.706000,['drugbank'],,Bevacizumab,"['drugbank.DB00112', 'drug_central.4956']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00113,154361-49-6,2023-04-02T22:16:52.706000,['drugbank'],,Technetium Tc-99m arcitumomab,"['drugbank.DB00113', 'drug_central.5127']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00114,54-47-7,2023-04-02T22:16:52.706000,"['drugbank', 'unichem']",,Pyridoxal phosphate,"['drugbank.DB00114', 'drug_central.3506', 'pubchem.1051']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00115,68-19-9,2023-04-02T22:16:52.706000,['drugbank'],,Cyanocobalamin,"['drugbank.DB00115', 'drug_central.4196']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00116,135-16-0,2023-04-02T22:16:52.706000,"['drugbank', 'unichem']",,Tetrahydrofolic acid,"['drugbank.DB00116', 'pubchem.135444742']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00117,71-00-1,2023-04-02T22:16:52.706000,"['drugbank', 'unichem']",,Histidine,"['drugbank.DB00117', 'drug_central.1377', 'pubchem.6971009', 'pubchem.6274']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00118,29908-03-0,2023-04-02T22:16:52.706000,"['drugbank', 'chembl', 'unichem']",,Ademetionine,"['drugbank.DB00118', 'drug_central.2414', 'pubchem.34755']",[],['approved'],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00119,127-17-3,2023-04-02T22:16:52.706000,"['drugbank', 'unichem']",,Pyruvic acid,"['drugbank.DB00119', 'pubchem.1060']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00120,63-91-2,2023-04-02T22:16:52.706000,"['drugbank', 'unichem']",,Phenylalanine,"['drugbank.DB00120', 'drug_central.2144', 'pubchem.6140', 'pubchem.6925665']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00121,58-85-5,2023-04-02T22:16:52.706000,"['drugbank', 'chembl', 'unichem']",,Biotin,"['drugbank.DB00121', 'drug_central.373', 'pubchem.171548']",[],['approved'],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00122,62-49-7,2023-04-02T22:16:52.706000,"['drugbank', 'unichem']",,Choline,"['drugbank.DB00122', 'drug_central.3097', 'pubchem.305']",[],[],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00123,56-87-1,2023-04-02T22:16:52.706000,"['drugbank', 'chembl', 'unichem']",,L-Lysine,"['drugbank.DB00123', 'drug_central.1622', 'pubchem.71774817', 'pubchem.122198194', 'pubchem.5962']",[],['approved'],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00125,74-79-3,2023-04-02T22:16:52.706000,"['drugbank', 'chembl', 'unichem']",,Arginine,"['drugbank.DB00125', 'drug_central.1549', 'pubchem.28782', 'pubchem.6322']",[],['approved'],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00126,50-81-7,2023-04-02T22:16:52.706000,"['drugbank', 'chembl', 'unichem']",,Ascorbic acid,"['drugbank.DB00126', 'drug_central.4072', 'pubchem.54670067']",[],['approved'],,[],Drug,2023-04-02T22:16:52.706000
drugbank.DB00127,71-44-3,2023-04-02T22:16:52.707000,"['drugbank', 'unichem']",,Spermine,"['drugbank.DB00127', 'pubchem.1103']",[],[],,[],Drug,2023-04-02T22:16:52.707000
drugbank.DB00128,56-84-8,2023-04-02T22:16:52.707000,"['drugbank', 'unichem']",,Aspartic acid,"['drugbank.DB00128', 'drug_central.1550', 'pubchem.5960', 'pubchem.44367445', 'pubchem.139060126']",[],[],,[],Drug,2023-04-02T22:16:52.707000
drugbank.DB00129,70-26-8,2023-04-02T22:16:52.707000,"['drugbank', 'unichem']",,Ornithine,"['drugbank.DB00129', 'drug_central.3401', 'pubchem.88747248', 'pubchem.6262']",[],[],,[],Drug,2023-04-02T22:16:52.707000
drugbank.DB00130,56-85-9,2023-04-02T22:16:52.707000,"['drugbank', 'chembl', 'unichem']",,L-Glutamine,"['drugbank.DB00130', 'drug_central.1311', 'pubchem.5961', 'pubchem.6992086']",[],['approved'],,[],Drug,2023-04-02T22:16:52.707000
drugbank.DB00131,61-19-8,2023-04-02T22:16:52.707000,"['drugbank', 'chembl', 'unichem']",,Adenosine phosphate,"['drugbank.DB00131', 'drug_central.92', 'pubchem.6083']",[],['approved'],,[],Drug,2023-04-02T22:16:52.707000
drugbank.DB00132,463-40-1,2023-04-02T22:16:52.707000,"['drugbank', 'unichem']",,alpha-Linolenic acid,"['drugbank.DB00132', 'drug_central.4618', 'pubchem.5280934']",[],[],,[],Drug,2023-04-02T22:16:52.707000
drugbank.DB00133,56-45-1,2023-04-02T22:16:52.707000,"['drugbank', 'unichem']",,Serine,"['drugbank.DB00133', 'drug_central.4127', 'pubchem.6857581', 'pubchem.5951']",[],[],,[],Drug,2023-04-02T22:16:52.707000
drugbank.DB00134,63-68-3,2023-04-02T22:16:52.707000,"['drugbank', 'chembl', 'unichem']",,Methionine,"['drugbank.DB00134', 'drug_central.3347', 'pubchem.6992087', 'pubchem.6137']",[],['approved'],,[],Drug,2023-04-02T22:16:52.707000
drugbank.DB00135,60-18-4,2023-04-02T22:16:52.707000,"['drugbank', 'chembl', 'unichem']",,Tyrosine,"['drugbank.DB00135', 'drug_central.2786', 'pubchem.6057', 'pubchem.6942100']",[],['approved'],,[],Drug,2023-04-02T22:16:52.707000
drugbank.DB00136,32222-06-3,2023-04-02T22:16:52.707000,"['drugbank', 'chembl', 'unichem']",,Calcitriol,"['drugbank.DB00136', 'drug_central.466', 'pubchem.5280453']",[],['approved'],,[],Drug,2023-04-02T22:16:52.707000
drugbank.DB00137,127-40-2,2023-04-02T22:16:52.707000,"['drugbank', 'unichem']",,Lutein,"['drugbank.DB00137', 'drug_central.4145', 'pubchem.5281243']",[],[],,[],Drug,2023-04-02T22:16:52.707000
drugbank.DB00138,56-89-3,2023-04-02T22:16:52.707000,"['drugbank', 'chembl', 'unichem']",,Cystine,"['drugbank.DB00138', 'drug_central.4130', 'pubchem.6992103', 'pubchem.67678']",[],['approved'],,[],Drug,2023-04-02T22:16:52.707000
drugbank.DB00139,110-15-6,2023-04-02T22:16:52.707000,"['drugbank', 'unichem']",,Succinic acid,"['drugbank.DB00139', 'drug_central.2487', 'pubchem.21952380', 'pubchem.1110']",[],[],,[],Drug,2023-04-02T22:16:52.707000
drugbank.DB00140,83-88-5,2023-04-02T22:16:52.707000,"['drugbank', 'chembl', 'unichem']",,Riboflavin,"['drugbank.DB00140', 'drug_central.2834', 'pubchem.493570']",[],['approved'],,[],Drug,2023-04-02T22:16:52.707000
drugbank.DB00141,7512-17-6,2023-04-02T22:16:52.707000,"['drugbank', 'unichem']",,N-Acetylglucosamine,"['drugbank.DB00141', 'drug_central.4615', 'pubchem.1738118']",[],[],,[],Drug,2023-04-02T22:16:52.707000
