Symptom_CUI	Symptom_Name	Gene_Symbol	Source
C0917816	Deficiency mental	RPS6KA3	DisGeNet
C0917816	Deficiency mental	DMD	DisGeNet
C0917816	Deficiency mental	PRODH	DisGeNet
C0917816	Deficiency mental	PRPF31	DisGeNet
C0917816	Deficiency mental	HESX1	DisGeNet
C0917816	Deficiency mental	AGPAT2	DisGeNet
C0917816	Deficiency mental	ETHE1	DisGeNet
C0917816	Deficiency mental	CEP152	DisGeNet
C0917816	Deficiency mental	ATP7A	DisGeNet
C0917816	Deficiency mental	NPHP1	DisGeNet
C0917816	Deficiency mental	CAV1	DisGeNet
C0917816	Deficiency mental	CWF19L1	DisGeNet
C0917816	Deficiency mental	FLI1	DisGeNet
C0917816	Deficiency mental	CDH15	DisGeNet
C0917816	Deficiency mental	ZBTB18	DisGeNet
C0917816	Deficiency mental	LAMA2	DisGeNet
C0917816	Deficiency mental	CNGA1	DisGeNet
C0917816	Deficiency mental	CLN3	DisGeNet
C0917816	Deficiency mental	SCO1	DisGeNet
C0917816	Deficiency mental	BBS4	DisGeNet
C0917816	Deficiency mental	COX15	DisGeNet
C0917816	Deficiency mental	RAD50	DisGeNet
C0917816	Deficiency mental	BBS9	DisGeNet
C0917816	Deficiency mental	CLN5	DisGeNet
C0917816	Deficiency mental	MYT1L	DisGeNet
C0917816	Deficiency mental	HNRNPK	DisGeNet
C0917816	Deficiency mental	FLII	DisGeNet
C0917816	Deficiency mental	COQ2	DisGeNet
C0917816	Deficiency mental	DUOX2	DisGeNet
C0917816	Deficiency mental	COL4A1	DisGeNet
C0917816	Deficiency mental	EMX2	DisGeNet
C0917816	Deficiency mental	CHKB	DisGeNet
C0917816	Deficiency mental	ALDH5A1	DisGeNet
C0917816	Deficiency mental	FOXI1	DisGeNet
C0917816	Deficiency mental	BRCA2	DisGeNet
C0917816	Deficiency mental	TRPS1	DisGeNet
C0917816	Deficiency mental	SMC1A	DisGeNet
C0917816	Deficiency mental	KCNJ11	DisGeNet
C0917816	Deficiency mental	VLDLR	DisGeNet
C0917816	Deficiency mental	SMS	DisGeNet
C0917816	Deficiency mental	PRPS1	DisGeNet
C0917816	Deficiency mental	MPDZ	DisGeNet
C0917816	Deficiency mental	MED12	DisGeNet
C0917816	Deficiency mental	SMO	DisGeNet
C0917816	Deficiency mental	SMARCB1	DisGeNet
C0917816	Deficiency mental	RBM8A	DisGeNet
C0917816	Deficiency mental	APC2	DisGeNet
C0917816	Deficiency mental	CTSA	DisGeNet
C0917816	Deficiency mental	FASTKD2	DisGeNet
C0917816	Deficiency mental	ADSL	DisGeNet
C0917816	Deficiency mental	ZIC2	DisGeNet
C0917816	Deficiency mental	SACS	DisGeNet
C0917816	Deficiency mental	ADGRG1	DisGeNet
C0917816	Deficiency mental	MYCN	DisGeNet
C0917816	Deficiency mental	DBT	DisGeNet
C0917816	Deficiency mental	KIAA0556	DisGeNet
C0917816	Deficiency mental	EFNB1	DisGeNet
C0917816	Deficiency mental	SEMA3E	DisGeNet
C0917816	Deficiency mental	AKT3	DisGeNet
C0917816	Deficiency mental	AFF2	DisGeNet
C0917816	Deficiency mental	SPECC1L	DisGeNet
C0917816	Deficiency mental	GRIN1	DisGeNet
C0917816	Deficiency mental	KIF1BP	DisGeNet
C0917816	Deficiency mental	GRIA3	DisGeNet
C0917816	Deficiency mental	TOPORS	DisGeNet
C0917816	Deficiency mental	RIPK4	DisGeNet
C0917816	Deficiency mental	SLC25A15	DisGeNet
C0917816	Deficiency mental	GRIK2	DisGeNet
C0917816	Deficiency mental	MOCS1	DisGeNet
C0917816	Deficiency mental	STIL	DisGeNet
C0917816	Deficiency mental	ATR	DisGeNet
C0917816	Deficiency mental	CREBBP	DisGeNet
C0917816	Deficiency mental	KAT6B	DisGeNet
C0917816	Deficiency mental	DPAGT1	DisGeNet
C0917816	Deficiency mental	CHD7	DisGeNet
C0917816	Deficiency mental	CNGB1	DisGeNet
C0917816	Deficiency mental	COX6B1	DisGeNet
C0917816	Deficiency mental	ZFYVE26	DisGeNet
C0917816	Deficiency mental	POLA1	DisGeNet
C0917816	Deficiency mental	LRAT	DisGeNet
C0917816	Deficiency mental	WWOX	DisGeNet
C0917816	Deficiency mental	RUBCN	DisGeNet
C0917816	Deficiency mental	GALE	DisGeNet
C0917816	Deficiency mental	KCNC3	DisGeNet
C0917816	Deficiency mental	PCNT	DisGeNet
C0917816	Deficiency mental	LHX3	DisGeNet
C0917816	Deficiency mental	MAP2K1	DisGeNet
C0917816	Deficiency mental	UBE2A	DisGeNet
C0917816	Deficiency mental	CHRNA7	DisGeNet
C0917816	Deficiency mental	ARID1A	DisGeNet
C0917816	Deficiency mental	GSS	DisGeNet
C0917816	Deficiency mental	PRPF3	DisGeNet
C0917816	Deficiency mental	SCN8A	DisGeNet
C0917816	Deficiency mental	GDI1	DisGeNet
C0917816	Deficiency mental	ROR2	DisGeNet
C0917816	Deficiency mental	FANCL	DisGeNet
C0917816	Deficiency mental	GALT	DisGeNet
C0917816	Deficiency mental	MECP2	DisGeNet
C0917816	Deficiency mental	SETD2	DisGeNet
C0917816	Deficiency mental	TSC1	DisGeNet
C0917816	Deficiency mental	BBS1	DisGeNet
C0917816	Deficiency mental	LARGE1	DisGeNet
C0917816	Deficiency mental	FANCD2	DisGeNet
C0917816	Deficiency mental	GNPAT	DisGeNet
C0917816	Deficiency mental	TSPAN7	DisGeNet
C0917816	Deficiency mental	APP	DisGeNet
C0917816	Deficiency mental	OCRL	DisGeNet
C0917816	Deficiency mental	WDPCP	DisGeNet
C0917816	Deficiency mental	MAPK10	DisGeNet
C0917816	Deficiency mental	XPA	DisGeNet
C0917816	Deficiency mental	BSND	DisGeNet
C0917816	Deficiency mental	HNF1A	DisGeNet
C0917816	Deficiency mental	RTEL1	DisGeNet
C0917816	Deficiency mental	DCX	DisGeNet
C0917816	Deficiency mental	RERE	DisGeNet
C0917816	Deficiency mental	WASHC4	DisGeNet
C0917816	Deficiency mental	NRAS	DisGeNet
C0917816	Deficiency mental	ZBTB16	DisGeNet
C0917816	Deficiency mental	RLIM	DisGeNet
C0917816	Deficiency mental	CA8	DisGeNet
C0917816	Deficiency mental	NRL	DisGeNet
C0917816	Deficiency mental	PDP1	DisGeNet
C0917816	Deficiency mental	GAMT	DisGeNet
C0917816	Deficiency mental	RBP3	DisGeNet
C0917816	Deficiency mental	OTC	DisGeNet
C0917816	Deficiency mental	PHOX2B	DisGeNet
C0917816	Deficiency mental	GNAS	DisGeNet
C0917816	Deficiency mental	CRX	DisGeNet
C0917816	Deficiency mental	BCS1L	DisGeNet
C0917816	Deficiency mental	DCHS1	DisGeNet
C0917816	Deficiency mental	DMXL2	DisGeNet
C0917816	Deficiency mental	UQCRQ	DisGeNet
C0917816	Deficiency mental	SMARCE1	DisGeNet
C0917816	Deficiency mental	TCN2	DisGeNet
C0917816	Deficiency mental	CDKL5	DisGeNet
C0917816	Deficiency mental	FLNB	DisGeNet
C0917816	Deficiency mental	SLC1A4	DisGeNet
C0917816	Deficiency mental	ZBTB24	DisGeNet
C0917816	Deficiency mental	PAFAH1B1	DisGeNet
C0917816	Deficiency mental	ACSL4	DisGeNet
C0917816	Deficiency mental	PLP1	DisGeNet
C0917816	Deficiency mental	TERT	DisGeNet
C0917816	Deficiency mental	SETBP1	DisGeNet
C0917816	Deficiency mental	PEX12	DisGeNet
C0917816	Deficiency mental	PRPF8	DisGeNet
C0917816	Deficiency mental	CYP24A1	DisGeNet
C0917816	Deficiency mental	MEGF8	DisGeNet
C0917816	Deficiency mental	ASPA	DisGeNet
C0917816	Deficiency mental	IDH3B	DisGeNet
C0917816	Deficiency mental	HBA1	DisGeNet
C0917816	Deficiency mental	GMPPB	DisGeNet
C0917816	Deficiency mental	SAG	DisGeNet
C0917816	Deficiency mental	TG	DisGeNet
C0917816	Deficiency mental	NHP2	DisGeNet
C0917816	Deficiency mental	CA4	DisGeNet
C0917816	Deficiency mental	XRCC2	DisGeNet
C0917816	Deficiency mental	XRCC4	DisGeNet
C0917816	Deficiency mental	PQBP1	DisGeNet
C0917816	Deficiency mental	PPP2R5D	DisGeNet
C0917816	Deficiency mental	NF1	DisGeNet
C0917816	Deficiency mental	PROP1	DisGeNet
C0917816	Deficiency mental	GRIN2B	DisGeNet
C0917816	Deficiency mental	KCNJ1	DisGeNet
C0917816	Deficiency mental	NUP62	DisGeNet
C0917816	Deficiency mental	BCKDK	DisGeNet
C0917816	Deficiency mental	BUB1B	DisGeNet
C0917816	Deficiency mental	MID2	DisGeNet
C0917816	Deficiency mental	ANK1	DisGeNet
C0917816	Deficiency mental	SYP	DisGeNet
C0917816	Deficiency mental	COX10	DisGeNet
C0917816	Deficiency mental	SDHB	DisGeNet
C0917816	Deficiency mental	SRCAP	DisGeNet
C0917816	Deficiency mental	TBL2	DisGeNet
C0917816	Deficiency mental	CLCNKB	DisGeNet
C0917816	Deficiency mental	PRSS12	DisGeNet
C0917816	Deficiency mental	AQP2	DisGeNet
C0917816	Deficiency mental	EP300	DisGeNet
C0917816	Deficiency mental	FLNA	DisGeNet
C0917816	Deficiency mental	RRM2B	DisGeNet
C0917816	Deficiency mental	PACS1	DisGeNet
C0917816	Deficiency mental	PTEN	DisGeNet
C0917816	Deficiency mental	TULP1	DisGeNet
C0917816	Deficiency mental	IGF1	DisGeNet
C0917816	Deficiency mental	PEX7	DisGeNet
C0917816	Deficiency mental	POMT1	DisGeNet
C0917816	Deficiency mental	ALX3	DisGeNet
C0917816	Deficiency mental	RAB3GAP2	DisGeNet
C0917816	Deficiency mental	GAN	DisGeNet
C0917816	Deficiency mental	CLCNKA	DisGeNet
C0917816	Deficiency mental	SOX5	DisGeNet
C0917816	Deficiency mental	FKTN	DisGeNet
C0917816	Deficiency mental	NAA10	DisGeNet
C0917816	Deficiency mental	MERTK	DisGeNet
C0917816	Deficiency mental	KMT2D	DisGeNet
C0917816	Deficiency mental	ITGB6	DisGeNet
C0917816	Deficiency mental	SMPD1	DisGeNet
C0917816	Deficiency mental	GK	DisGeNet
C0917816	Deficiency mental	PRPH2	DisGeNet
C0917816	Deficiency mental	IKBKG	DisGeNet
C0917816	Deficiency mental	DNAJC6	DisGeNet
C0917816	Deficiency mental	PHF8	DisGeNet
C0917816	Deficiency mental	SIX3	DisGeNet
C0917816	Deficiency mental	KDM6A	DisGeNet
C0917816	Deficiency mental	RLBP1	DisGeNet
C0917816	Deficiency mental	TMEM138	DisGeNet
C0917816	Deficiency mental	DPP6	DisGeNet
C0917816	Deficiency mental	FRMPD4	DisGeNet
C0917816	Deficiency mental	NAGA	DisGeNet
C0917816	Deficiency mental	GTF2IRD1	DisGeNet
C0917816	Deficiency mental	ACTA2	DisGeNet
C0917816	Deficiency mental	NT5C2	DisGeNet
C0917816	Deficiency mental	TRAIP	DisGeNet
C0917816	Deficiency mental	CYB5R3	DisGeNet
C0917816	Deficiency mental	NEU1	DisGeNet
C0917816	Deficiency mental	NDUFA10	DisGeNet
C0917816	Deficiency mental	ATP6V0A2	DisGeNet
C0917816	Deficiency mental	GCK	DisGeNet
C0917816	Deficiency mental	EFTUD2	DisGeNet
C0917816	Deficiency mental	PAX1	DisGeNet
C0917816	Deficiency mental	CYP27A1	DisGeNet
C0917816	Deficiency mental	FAM20A	DisGeNet
C0917816	Deficiency mental	SHH	DisGeNet
C0917816	Deficiency mental	MEIS2	DisGeNet
C0917816	Deficiency mental	ADNP	DisGeNet
C0917816	Deficiency mental	SMC3	DisGeNet
C0917816	Deficiency mental	GBE1	DisGeNet
C0917816	Deficiency mental	CPS1	DisGeNet
C0917816	Deficiency mental	KMT2A	DisGeNet
C0917816	Deficiency mental	RP2	DisGeNet
C0917816	Deficiency mental	AGTR2	DisGeNet
C0917816	Deficiency mental	BAZ1B	DisGeNet
C0917816	Deficiency mental	EYA1	DisGeNet
C0917816	Deficiency mental	TMEM216	DisGeNet
C0917816	Deficiency mental	ITGA7	DisGeNet
C0917816	Deficiency mental	ATP5F1E	DisGeNet
C0917816	Deficiency mental	KAT6A	DisGeNet
C0917816	Deficiency mental	CLN8	DisGeNet
C0917816	Deficiency mental	ABCC8	DisGeNet
C0917816	Deficiency mental	MBTPS2	DisGeNet
C0917816	Deficiency mental	PYCR1	DisGeNet
C0917816	Deficiency mental	PIK3CA	DisGeNet
C0917816	Deficiency mental	RAB23	DisGeNet
C0917816	Deficiency mental	ERCC5	DisGeNet
C0917816	Deficiency mental	GATA6	DisGeNet
C0917816	Deficiency mental	POMGNT1	DisGeNet
C0917816	Deficiency mental	NR2F1	DisGeNet
C0917816	Deficiency mental	SATB2	DisGeNet
C0917816	Deficiency mental	EEF1A2	DisGeNet
C0917816	Deficiency mental	NECTIN1	DisGeNet
C0917816	Deficiency mental	IGBP1	DisGeNet
C0917816	Deficiency mental	DNA2	DisGeNet
C0917816	Deficiency mental	BCKDHA	DisGeNet
C0917816	Deficiency mental	BRF1	DisGeNet
C0917816	Deficiency mental	GAD1	DisGeNet
C0917816	Deficiency mental	DDHD2	DisGeNet
C0917816	Deficiency mental	ARHGEF6	DisGeNet
C0917816	Deficiency mental	PDE4D	DisGeNet
C0917816	Deficiency mental	PAX2	DisGeNet
C0917816	Deficiency mental	NHS	DisGeNet
C0917816	Deficiency mental	ARFGEF2	DisGeNet
C0917816	Deficiency mental	NPC1	DisGeNet
C0917816	Deficiency mental	AHCY	DisGeNet
C0917816	Deficiency mental	RB1	DisGeNet
C0917816	Deficiency mental	RECQL4	DisGeNet
C0917816	Deficiency mental	HRAS	DisGeNet
C0917816	Deficiency mental	HUWE1	DisGeNet
C0917816	Deficiency mental	MAN2B1	DisGeNet
C0917816	Deficiency mental	HDAC4	DisGeNet
C0917816	Deficiency mental	WNT5A	DisGeNet
C0917816	Deficiency mental	NDUFS8	DisGeNet
C0917816	Deficiency mental	BUB3	DisGeNet
C0917816	Deficiency mental	SGSH	DisGeNet
C0917816	Deficiency mental	RAD51	DisGeNet
C0917816	Deficiency mental	AP1S1	DisGeNet
C0917816	Deficiency mental	ENTPD1	DisGeNet
C0917816	Deficiency mental	GNS	DisGeNet
C0917816	Deficiency mental	ABHD5	DisGeNet
C0917816	Deficiency mental	ROM1	DisGeNet
C0917816	Deficiency mental	DEAF1	DisGeNet
C0917816	Deficiency mental	IL1RAPL1	DisGeNet
C0917816	Deficiency mental	SOX10	DisGeNet
C0917816	Deficiency mental	ATP8A2	DisGeNet
C0917816	Deficiency mental	PARN	DisGeNet
C0917816	Deficiency mental	POU1F1	DisGeNet
C0917816	Deficiency mental	CERS1	DisGeNet
C0917816	Deficiency mental	TBCE	DisGeNet
C0917816	Deficiency mental	GPI	DisGeNet
C0917816	Deficiency mental	PAK3	DisGeNet
C0917816	Deficiency mental	TRH	DisGeNet
C0917816	Deficiency mental	MVK	DisGeNet
C0917816	Deficiency mental	SLC17A5	DisGeNet
C0917816	Deficiency mental	NDUFS4	DisGeNet
C0917816	Deficiency mental	FOXG1	DisGeNet
C0917816	Deficiency mental	TCTN3	DisGeNet
C0917816	Deficiency mental	CNTNAP2	DisGeNet
C0917816	Deficiency mental	LYST	DisGeNet
C0917816	Deficiency mental	SLC26A4	DisGeNet
C0917816	Deficiency mental	PGK1	DisGeNet
C0917816	Deficiency mental	KANK1	DisGeNet
C0917816	Deficiency mental	POLR1C	DisGeNet
C0917816	Deficiency mental	ZBTB20	DisGeNet
C0917816	Deficiency mental	CBS	DisGeNet
C0917816	Deficiency mental	HSPG2	DisGeNet
C0917816	Deficiency mental	SDHA	DisGeNet
C0917816	Deficiency mental	LRP2	DisGeNet
C0917816	Deficiency mental	L1CAM	DisGeNet
C0917816	Deficiency mental	FOXRED1	DisGeNet
C0917816	Deficiency mental	CTCF	DisGeNet
C0917816	Deficiency mental	PCCA	DisGeNet
C0917816	Deficiency mental	NDUFA2	DisGeNet
C0917816	Deficiency mental	GRIP1	DisGeNet
C0917816	Deficiency mental	SYNGAP1	DisGeNet
C0917816	Deficiency mental	SETD5	DisGeNet
C0917816	Deficiency mental	TACO1	DisGeNet
C0917816	Deficiency mental	PTCH1	DisGeNet
C0917816	Deficiency mental	DPYD	DisGeNet
C0917816	Deficiency mental	MAPK1	DisGeNet
C0917816	Deficiency mental	SMARCA4	DisGeNet
C0917816	Deficiency mental	LINS1	DisGeNet
C0917816	Deficiency mental	COL3A1	DisGeNet
C0917816	Deficiency mental	RNF113A	DisGeNet
C0917816	Deficiency mental	RBBP8	DisGeNet
C0917816	Deficiency mental	DDX3X	DisGeNet
C0917816	Deficiency mental	PIGN	DisGeNet
C0917816	Deficiency mental	ALDH4A1	DisGeNet
C0917816	Deficiency mental	SDHD	DisGeNet
C0917816	Deficiency mental	PRPF4	DisGeNet
C0917816	Deficiency mental	PNPLA6	DisGeNet
C0917816	Deficiency mental	PLA2G6	DisGeNet
C0917816	Deficiency mental	NDUFS3	DisGeNet
C0917816	Deficiency mental	RP1	DisGeNet
C0917816	Deficiency mental	VPS53	DisGeNet
C0917816	Deficiency mental	NFIX	DisGeNet
C0917816	Deficiency mental	FSCN2	DisGeNet
C0917816	Deficiency mental	ALDH7A1	DisGeNet
C0917816	Deficiency mental	EBP	DisGeNet
C0917816	Deficiency mental	DPYS	DisGeNet
C0917816	Deficiency mental	SEC23B	DisGeNet
C0917816	Deficiency mental	IGF1R	DisGeNet
C0917816	Deficiency mental	IQSEC2	DisGeNet
C0917816	Deficiency mental	GATM	DisGeNet
C0917816	Deficiency mental	MANBA	DisGeNet
C0917816	Deficiency mental	GUSB	DisGeNet
C0917816	Deficiency mental	ASL	DisGeNet
C0917816	Deficiency mental	RAB3GAP1	DisGeNet
C0917816	Deficiency mental	DGCR6	DisGeNet
C0917816	Deficiency mental	AMT	DisGeNet
C0917816	Deficiency mental	FANCE	DisGeNet
C0917816	Deficiency mental	SKI	DisGeNet
C0917816	Deficiency mental	SYNJ1	DisGeNet
C0917816	Deficiency mental	OPHN1	DisGeNet
C0917816	Deficiency mental	NTRK1	DisGeNet
C0917816	Deficiency mental	GABRA1	DisGeNet
C0917816	Deficiency mental	ARHGDIA	DisGeNet
C0917816	Deficiency mental	MKKS	DisGeNet
C0917816	Deficiency mental	HELLS	DisGeNet
C0917816	Deficiency mental	IFT172	DisGeNet
C0917816	Deficiency mental	KPTN	DisGeNet
C0917816	Deficiency mental	DYRK1A	DisGeNet
C0917816	Deficiency mental	SSR4	DisGeNet
C0917816	Deficiency mental	ANKRD11	DisGeNet
C0917816	Deficiency mental	HERC2	DisGeNet
C0917816	Deficiency mental	GMPPA	DisGeNet
C0917816	Deficiency mental	ZNF41	DisGeNet
C0917816	Deficiency mental	QDPR	DisGeNet
C0917816	Deficiency mental	BSCL2	DisGeNet
C0917816	Deficiency mental	EXT1	DisGeNet
C0917816	Deficiency mental	CRKL	DisGeNet
C0917816	Deficiency mental	CTDP1	DisGeNet
C0917816	Deficiency mental	MAF	DisGeNet
C0917816	Deficiency mental	WT1	DisGeNet
C0917816	Deficiency mental	HADH	DisGeNet
C0917816	Deficiency mental	ERCC3	DisGeNet
C0917816	Deficiency mental	POR	DisGeNet
C0917816	Deficiency mental	MAGEL2	DisGeNet
C0917816	Deficiency mental	VRK1	DisGeNet
C0917816	Deficiency mental	STT3A	DisGeNet
C0917816	Deficiency mental	HSD17B10	DisGeNet
C0917816	Deficiency mental	ZNF423	DisGeNet
C0917816	Deficiency mental	FANCB	DisGeNet
C0917816	Deficiency mental	PEX2	DisGeNet
C0917816	Deficiency mental	PC	DisGeNet
C0917816	Deficiency mental	FGFR2	DisGeNet
C0917816	Deficiency mental	HMGB3	DisGeNet
C0917816	Deficiency mental	TMCO1	DisGeNet
C0917816	Deficiency mental	CLRN1	DisGeNet
C0917816	Deficiency mental	YARS2	DisGeNet
C0917816	Deficiency mental	BCOR	DisGeNet
C0917816	Deficiency mental	LIMK1	DisGeNet
C0917816	Deficiency mental	ARSA	DisGeNet
C0917816	Deficiency mental	CASK	DisGeNet
C0917816	Deficiency mental	MAD2L2	DisGeNet
C0917816	Deficiency mental	MKS1	DisGeNet
C0917816	Deficiency mental	DYM	DisGeNet
C0917816	Deficiency mental	TBR1	DisGeNet
C0917816	Deficiency mental	GNAQ	DisGeNet
C0917816	Deficiency mental	KCNJ10	DisGeNet
C0917816	Deficiency mental	UBE2T	DisGeNet
C0917816	Deficiency mental	RET	DisGeNet
C0917816	Deficiency mental	COL4A3BP	DisGeNet
C0917816	Deficiency mental	BDNF	DisGeNet
C0917816	Deficiency mental	YAP1	DisGeNet
C0917816	Deficiency mental	PTDSS1	DisGeNet
C0917816	Deficiency mental	SNRNP200	DisGeNet
C0917816	Deficiency mental	SLC6A20	DisGeNet
C0917816	Deficiency mental	PPARG	DisGeNet
C0917816	Deficiency mental	ARG1	DisGeNet
C0917816	Deficiency mental	SH2B1	DisGeNet
C0917816	Deficiency mental	NIPBL	DisGeNet
C0917816	Deficiency mental	SLC4A4	DisGeNet
C0917816	Deficiency mental	ASAH1	DisGeNet
C0917816	Deficiency mental	CLIP2	DisGeNet
C0917816	Deficiency mental	GLB1	DisGeNet
C0917816	Deficiency mental	MLXIPL	DisGeNet
C0917816	Deficiency mental	IMPDH1	DisGeNet
C0917816	Deficiency mental	IFT140	DisGeNet
C0917816	Deficiency mental	SLC35A3	DisGeNet
C0917816	Deficiency mental	DDX11	DisGeNet
C0917816	Deficiency mental	ASCL1	DisGeNet
C0917816	Deficiency mental	FOXE1	DisGeNet
C0917816	Deficiency mental	WASHC5	DisGeNet
C0917816	Deficiency mental	SCN1A	DisGeNet
C0917816	Deficiency mental	MMADHC	DisGeNet
C0917816	Deficiency mental	BEST1	DisGeNet
C0917816	Deficiency mental	CEP57	DisGeNet
C0917816	Deficiency mental	PDE6A	DisGeNet
C0917816	Deficiency mental	PPT1	DisGeNet
C0917816	Deficiency mental	PCCB	DisGeNet
C0917816	Deficiency mental	ARL2BP	DisGeNet
C0917816	Deficiency mental	ACAT1	DisGeNet
C0917816	Deficiency mental	CCDC22	DisGeNet
C0917816	Deficiency mental	ELN	DisGeNet
C0917816	Deficiency mental	SLC29A3	DisGeNet
C0917816	Deficiency mental	PLAGL1	DisGeNet
C0917816	Deficiency mental	GRM1	DisGeNet
C0917816	Deficiency mental	DVL1	DisGeNet
C0917816	Deficiency mental	RMRP	DisGeNet
C0917816	Deficiency mental	CD96	DisGeNet
C0917816	Deficiency mental	GATA1	DisGeNet
C0917816	Deficiency mental	CHMP1A	DisGeNet
C0917816	Deficiency mental	TAT	DisGeNet
C0917816	Deficiency mental	SDCCAG8	DisGeNet
